headline,title,text
"
Place skis with bases up on a solid surface.,
Make sure there is no dirt or other debris in the gouge.,
Remove any material that’s hanging off the gouge beyond the skis flat surface with a razor blade.,
In a safe, ventilated location, light the end of PTEX stick with a lighter and wait for the flame to catch.,
Take the stick and carefully hold it within a few inches of the gouge and allow the droplets to land in the gouge.,

Allow the PTEX to cool for 15 minutes.

,

Using a scraper, remove excess PTEX by running the scraper across the gouge at a 45 degree angle to the ski until the surface is level.

,If the gouge is not entirely filled, repeat steps 4-7.,
Rub a piece of steel wool over the patched spot to smooth out.

,
Finish with a quick wipe down with a rag.

",How to Repair Gouges in a Ski's Base," If you have access to a vice, secure skis in it with a rag between the vice and ski. It is important to make sure there are as few flammable objects as possible around. A garage floor makes a decent working station.;
, If necessary use a rag with rubbing alcohol to clean the spot thoroughly.

, If the gouge is still rough around the edges, a piece of sandpaper will clean the area up well.

, After a few moments you will notice little droplets of burning liquid dripping from the flame.

, When the gouge has been filled, blow out the flame on the PTEX stick.

,,,,,"
"
Use “raise” as instructed.,
Use ""rise” as instructed.",How to Use Commonly Misused Words12,"


Raise means ""lift"" and is a transitive verb, meaning it needs a subject and an object (i.e. subject + “raise” + object).
Ex. “They voted to raise taxes.”
Ex. “Raise the roof!”

,


Rise means ""move upward."" It is an intransitive verb and only needs a subject.
Ex. “His blood pressure rose.”
Ex. “Taxes rose 2% last year.” (Of course, they were raised by someone, but since that isn’t mentioned in this sentence, “rise” is the correct verb to use.)

"
"
Walk to a place with obstacles or enemies that can squish you to a blob of jelly.

,
Go to an obstacle and wait for it to squish upon your body.

,
Let it squish you and watch as Mario becomes a blob of muck.

",How to Die in Mario Games5,",,"
"
Slide your feet into the back pockets of the jeans.,
Measure the length of the bottom of your foot and add 1 inch (2.5 cm).,
To make the soles, trace around the pattern twice onto the foam and four times onto some denim from the jeans.,
Sandwich a piece of foam between two pieces of denim.,
Lay one pocket on each sole so the bottom of the pocket is at the top of the sole.,
Sew around the outside edge of each slipper 1⁄2 inch (1.3 cm) form the edge.,
Using puffy paint draw squiggly lines on the bottom of of each slipper to make them nonslip.,
Finished.

",How to Make Jean Slippers," The pockets should fit your feet comfortably. Cut the pockets off and trim any extra fabric from the inside.;
, Measure the width of your foot and add 1 inch (2.5 cm). Using these measurements, draw a rectangle on tracing paper. Cut it out and round off the corners. This is your pattern for the soles of the slippers.

, Cut these pieces out.

, Pin the pieces together. Do the same with the other pieces.

, Pin the pockets to the soles lining up the outside edges as neatly as you can.

, Remove the pins.

, Allow to dry.

,"
"
Utilize the Firefox add-on/Extensions page.,
Type in ""Gmail notifier"" in the search window and click Search.,Select ""Gmail Notifier (restartless)"" by clicking on it.,
Click on Add to Firefox.,
Click Install Now.,
Verify the add-on is currently in your list of enabled add-ons.,
Click on Options button that corresponds to the add-on and adjust settings if needed.

,
Recognize when the installation is all finished.",How to Install Gmail Notifier Add on for Firefox," Click on the link with add-ons

, You get a list of available Gmail notifiers.

,, No restart is required, unlike most other Firefox add-ons/Extensions.

, You will eventually get a confirmation message that says ""Installed successfully"".,

Click on Tools and click on ""Extensions""
Make sure the new add-on is there

,, You have the Gmail notification on your browser that shows you got a new e-mail on Gmail.

"
"
Open the ""run"" dialogue box.,
In the dialogue box, type the following.,
Set up the supervisor password.,
Change the settings.",How to Password Protect Internet Explorer1," You can access it from the ""start"" menu or press ⊞ Win+R.;
, Type RunDll32.exe msrating.dll,RatingSetupUI. This brings up Content Advisor.

, Click the General tab, then click Create Password under the ""Supervisor Password"" section.

, You can now control what users can and cannot see by clicking the Ratings tab and changing the settings.

"
"
Stand behind the client’s head in the first position.,
Ask the client for permission to heal that which needs healing.,
Ask Source to alert you of additional areas that are of concern regarding this client.,
Continue with the Reiki positions while remaining in Theta.

,
While connected to Source, you may be alerted of various obstacles the client is facing.,
Finish your session by psychically cleaning off and grounding.",How to Combine Reiki with Theta Healing," Connect to Source and ask to scan the inside of the client’s body. Look for anything that feels out of balance. Remember these areas. If you prefer, additionally scan the body using your hands.;
, Command Source to make the change and witness it happening.

, You may discover the client is experiencing emotional hurdles.

,, Ask Source for clarification whenever you need it. Continue to command healings and witness the changes throughout the session.

, Wash your hands to stop the flow of Reiki.

"
"
Use the trip planner.,
Download a timetable.,
Get a fare estimate.,
Purchase your ticket.,
Stow your belongings.,
Note the restrictions on animals.,
Find a seat.,
Arrive at Union Station.","How to Get from Baltimore, MD to Washington DC1"," Locate the trip planner on the upper left-hand side of the Maryland Area Regional Commuter (MARC) site. Enter your starting address in the top field and your destination in the bottom field. Below that, choose the date and time that you need to arrive or depart by. Click “Get Directions.” A personalized Google map will be generated for you., Navigate to the center of the MARC homepage. Look for the Camden or Penn line. (The trip planner will tell you which line you should take.) Each line will be in bold font followed by links to its timetable. Click the printable version for easy printing or saving to your mobile device as a PDF.


Note that only the Penn line offers weekend service. You can choose to download a full timetable or one tailored just for the week or weekend.

, Navigate to the fares page. Click the link for either the Penn line chart or the Camden line chart. Find your starting station in the “Departure Stations” column. Locate Washington, DC in the horizontal list of “Arrival Stations” at the top of the chart. Your fare will be listed in the box corresponding to your starting point.For example, if you’re traveling on the Penn Line from BWI Airport, your fare will be $7.00.

, MARC accepts cash and all major credit cards. You can buy your ticket through many convenient methods. Purchase online or by phone (410-697-2212 / TDD: 800-828-1120) to have your tickets mailed to you.Other options include:


On board the train from a conductor. Note that conductors accept only cash.
An Amtrak vending machine
A ticket agent at select stations
A commuter store, Avoid bringing large bags, which are barred during rush hour. Place carry-on luggage in designated areas. If you have a bicycle, you can only bring one that folds and store it in the designated area.


Penn line trains have designated bike cars available only on the weekend. This is the only time you may bring a non-collapsible bike.
Strollers and other baby carriages are not allowed on board., Small pets may be brought on board in their carriers. Keep them with you for the duration of the trip. Larger animals are allowed only if they’re service animals., You may sit wherever you like. Safety rules mandate that you don’t sit on stairs or stand in vestibules. If seats are available, you’re not allowed to stand in the aisles. Unless you need to use the restroom, remain in your seat until you arrive at your destination.

, The MARC station is located below the historic Union Station. After disembarking, follow the signage to your intended exit or transfer. From here, you can transfer to the DC Metro (bus or rail service). You may buy rail tickets from designated vending machines.


Visit the Metro website for more information."
"
Heat the oven to 200 degrees Fahrenheit (93 degrees Celsius).,
Mix and heat the sugar, vinegar, and cranberry juice.,
Check the temperature of the syrup.,
Add the peppermint extract.,
Remove the baking sheet from the oven.,
Pour the syrup onto the silicone mat.,
Hold the edges of the mat.,
Knead the syrup.,
Grease your hands.,
Pull a small ball of candy from the main clump.,
Stretch the candy.,
Twist the rope.,
Form canes.,
Allow the candy to cool.",How to Make Organic Candy1," Line a baking sheet with an oven-safe silicone baking mat. Place the baking sheet in the oven and allow it to warm up.
, Combine the three ingredients in a 2-qt (2-liter). Allow the ingredients to boil down into a syrup, reducing the heat once it actually begins to boil. Cook over medium-low for 30 minutes., It should be about 285 degrees Fahrenheit (140.6 degrees Celsius). Once the syrup reaches this temperature, you should remove of from the heat., Mix the peppermint extract into the syrup quickly to make sure that it is thoroughly combined before the syrup begins to cool., By now, it should be sufficiently warm., You should pour the syrup into the center of the mat, rather than near the edges, and allow it to spread naturally., Fold the edges of the mat up to keep the syrup in a confined, narrow strip until it cools just enough to stop running., Once it partially solidifies, begin pressing and folding the syrup in a kneading motion. Use the edges of your silicone mat or other non-stick utensils. Continue kneading for 25 minutes, until the syrup turns glossy., Spray nonstick cooking spray onto your hands to prevent your skin from sticking to the cooled candy., The ball should be a little smaller than the size of a golf ball., Pull the candy out, stretching it into a rope. Note that this process takes considerable strength and speed, and may work best if you have someone to help you., Bring the ends together and twist the halves of the rope together., Bend the top of the twisted rope into a hook or cane shape., Place the finished canes on the silicone mat and harden at room temperature. Store the candy away from the sunlight."
"
Increase the intensity of your walks.,
Do higher-intensity runs.,
Make swimming more difficult.,
Increase the intensity of your cycling.,
Make weight lifting more difficult.,
Swap in one or two HIIT workouts.,
Do cardio and strength training at the same time.,
Add in explosive moves.,
Talk to your doctor.,
Make up an exercise calendar.,
Measure your heart rate and Rate of Perceived Exertion (RPE).,
Be familiar with symptoms of going too fast.",How to Increase the Intensity of Any Exercise," Walking on a regular basis is a great low-impact exercise. It comes with many of the same benefits as jogging or running but without the hit to your knees and hips.Leisurely walking is great, but increase the intensity of your walks by:


Carry a 10–15 pound backpack while you walk. The extra weight makes your body work harder and increases the intensity of your walk.Avoid ankle or wrist weights, as these can lead to injury — remember that by weighting the end of a long lever (your wrist or ankle) you are putting a great load on the pivot (the shoulder, elbow, hip or knee joints). If you wish to use them, only wear them for the first five minutes of your walk, then put them in a backpack.
Increasing the incline on your treadmill during your walk. Or, if you walk outside, find a route that has a significant amount of hills.The hills will work your legs much harder than walking on a flat surface.
Walking on the sand if you live near a beach. It's difficult to push off in the sand and makes your feet and legs work significantly harder while you're walking.Racewalking. This is a type of very fast paced walking (about 6 to 8 mph or 9.6 to 12.9 km/h). You're working out on a level close to jogging or running.;
, Increasing the intensity of your regular runs or jogs can help you increase your overall speed and endurance.Try the following to increase the intensity of your runs:


Run hills or stairs. Find a new, hilly route or increase the incline on the treadmill; however, an even better way to increase intensity is by running stairs. Find a stadium with bleachers or a park with stairs.Include intervals of sprints and moderate-paced runs. Alternating your pace back and forth increases your heart rate significantly and can also help increase speed long-term.Increase the distance of your run by 1/4 of a mile each week. The longer you go the better trained your cardiovascular system will be.If you only run three times a week, try incorporating another day or two of running. This will help give your body extra conditioning., Getting in the pool for exercise is a great way to be active. It's low-impact and high resistance.You can up the intensity of your swim by:


Doing interval training. It's recommended to increase your speed every 50–100 meters until you reach your max effort. This can help increase your speed and performance.
Also try timed sets. Complete a certain amount of laps or strokes in a shorter period of time to force yourself to go faster.

, Cycling is a great aerobic exercise. Plus, there are a lot of things you can do to increase the intensity. Try:


Taking a spin class. These classes are naturally high in intensity and cause you to work very hard.
Build your own intervals by cycling on hilly terrain, alternating between high and low speeds or using an indoor bike and increasing the resistance.
If you train outside, use slightly deflated tires which will make the bike slower and force you to work harder.Avoid cycling in the city where there is traffic, lights and stop signs. Train in an area where you can go at high speeds for long distances without having to stop.

, Unlike aerobic exercises, weightlifting activities are used to build more muscle and strength; however, there are plenty of ways you can increase the intensity of these types of exercises as well. Try:


Alternate between upper and lower body parts between each set, or pause to do some jumping jacks.
An easy way to increase the intensity of a weightlifting routine is by doing more sets or adding more reps per set.Another way to increase the intensity of your exercises is by taking longer when you're lowering a weight (for example, when you're lowering your arms back to the starting position after a bicep curl). This helps draw out the exercise and how long your muscles are working., If you're interested in just choosing a higher intensity workout or incorporating more high-intensity exercises to your workout routine, consider doing one or two HIIT (High Intensity Interval Training) workouts a week.


HIIT is a specific type of training that focuses on working you up to very high intensities.Typical HIIT workouts are short in length and alternate between short bursts of very, very high-intensity exercises with short ""rest"" periods of moderate-intensity exercises.HIIT workouts burn more calories from fat and push your body into the anaerobic zone which helps you improve speed and endurance.HIIT workouts can be done with any exercise — running, cycling or swimming. For example, alternate between one minute full sprint with three minutes of a moderate jog. Repeat this cycle a few times or until you cannot continue.

, Both cardio and strength training routines are made more difficult when you combine them. Both have unique training benefits and, when paired together, can increase the intensity of your workouts.


Cardio intensity can be boosted by adding exercises like lunges, push-ups or squats. And strength training routines can be made more difficult by adding in jumping jacks or knee raises in between sets.
Combining these two types of exercises helps increase metabolism and keeps your heart rate elevated during exercise and after the exercise has been completed.This can result in increased calorie burn and helps build more muscle mass., A way to increase the intensity of both weightlifting and cardio routines is to include some explosive movements and work until ""muscle failure.""


Explosive movements are those like box jumps or Olympic lifts. These moves engage more of your muscle fibers, which can increase strength and endurance.Only add more explosive moves to one to two days of your workout routine. This helps prevent injury.
Work to ""muscle failure."" When you feel like you can't do another repetition or run a step further, force yourself to go a little further or do another rep at a lower intensity. This helps increase how hard your muscles work., Before starting any new workout or increasing the intensity or difficulty of your exercise routine, make sure you consult your doctor.


Your doctor will be able to tell you whether increasing intensity or difficulty is safe and appropriate for you.
Some higher-intensity exercises may not be appropriate for everyone at every fitness level. Discuss this with your physician.
It is normal to experience some discomfort or shortness of breath when increasing the intensity of your workout, but it's important you listen to your body and always keep your exercise intensity within a safe zone. Overdoing any activity can be harmful, and you need to be realistic and aware of your own limits.

, When you're trying to increase the intensity of your workout, there's most likely a goal behind this desire. You might want to run faster, lift more weight or cycle for a longer time. Make an exercise calendar to help you. Use a physical calendar you can write on or your smartphone or an app to help.


It's important to go slowly when first increasing the intensity and difficulty of your exercise. You can cause injury quickly if you do not proceed slowly and with caution.
Lay out a calendar for your exercise routine. Note what you're doing each week and how you're increasing the intensity by small increments each week.
Also note if you have an event, race or competition coming up. If you want to increase your pace over the course of six months before your next 10K race, it's important to plan your weekly workouts and how you're going to gradually increase the intensity.

, When you're trying to increase the intensity of your workouts, you should get familiar with tracking your heart rate and perceived exertion so you can monitor your intensity during any workout.


RPE is a scale that allows you to assess your level of exertion while exercising — by paying attention to how you feel, you can make sure your workout is safe but challenging. The scale is as follows:1: Very light exertion — Hardly any activity, but not sleeping
2 – 3: Light activity — Easy to maintain your pace and you can breathe normally. You can easily carry on a conversation.
4 – 6: Moderate activity — Noticeably more challenging. Breathing heavily, can only hold a short conversation.
7 – 8: Vigorous activity — You can only speak about one sentence. Shortness of breath, and on the verge of uncomfortable.
9: Very hard activity — Very challenging and difficult to keep up this intensity. Hard to breathe and you can only speak a word or two.
10: Maximum effort activity — Feels almost impossible; you can only do the activity for a few seconds at this intensity and you cannot even get a word out.


Track your RPE during one of your typical workouts. For example, you estimate your morning jogs to be at a five or six. Aim to increase your exertion by one or two points — jog at a seven or eight on the scale.
You can also track your heart rate. Your target heart rate is based on your age and encompasses a range of heart rates that are safe and will give you the best results. You can find charts or calculators online to give you an idea of what your target heart rate should be during exercise.
Working on the upper end of your target heart rate range means you're working out at a moderate- to high-intensity.

, Although increased intensity of physical activity is associated with many benefits, doing too much or going too hard can be dangerous.Some studies showed that continued high-intensity exercise may lead to more heart problems long-term.It's beneficial to do high intensity exercises, but alternate them with low or moderate intensity activities as well.
If you notice any acute pain in your joints, muscles or chest after doing high intensity exercise, discontinue immediately.
If you're feeling sore or have muscle fatigue, make sure to take a day of rest before starting another workout.

"
